A data final não pode ser anterior à data de início.,,# apps/exemplo/doctypes/projeto/projeto.controller.ts:7
A data limite não pode ser anterior ao início do projeto ({0}).,,# apps/exemplo/doctypes/tarefa/tarefa.controller.ts:23
Acompanhamento,,# exemplo workspace
Actions,Ações,# apps/exemplo/doctypes/tarefa/tarefa.form.ts:18
Complete,Concluir,# apps/exemplo/doctypes/tarefa/tarefa.form.ts:19
Completed,Concluída,# apps/exemplo/services/tarefas.ts:76
Concluída em,,# exemplo.doctypes.tarefa.tarefa.doctype
Concluído,,# exemplo.doctypes.marco_projeto.marco_projeto.doctype
Concluído em,,# exemplo.doctypes.marco_projeto.marco_projeto.doctype
Código,,# exemplo.doctypes.projeto.projeto.doctype
Data de início,,# exemplo.doctypes.projeto.projeto.doctype
Data final,,# exemplo.doctypes.projeto.projeto.doctype
Data limite,,# exemplo.doctypes.tarefa.tarefa.doctype
Data limite até,,# exemplo report
Data prevista,,# exemplo.doctypes.marco_projeto.marco_projeto.doctype
Datas inválidas,,# apps/exemplo/doctypes/projeto/projeto.controller.ts:7
Descrição,,# exemplo.doctypes.projeto.projeto.doctype
Exemplo: Projetos,,# exemplo app
In progress,Em andamento,# apps/exemplo/services/tarefas.ts:76
Marco Projeto,,# exemplo.doctypes.marco_projeto.marco_projeto.doctype
Marco inválido,,# apps/exemplo/doctypes/projeto/projeto.controller.ts:16
Marcos,,# exemplo.doctypes.projeto.projeto.doctype
O marco {0} não pode ser concluído antes do início do projeto.,,# apps/exemplo/doctypes/projeto/projeto.controller.ts:15
Open,Aberta,# apps/exemplo/services/tarefas.ts:76
Overdue,Atrasada,# apps/exemplo/services/tarefas.ts:76
Planejamento,,# exemplo workspace
Prazo inválido,,# apps/exemplo/doctypes/tarefa/tarefa.controller.ts:24
Prioridade,,# exemplo.doctypes.tarefa.tarefa.doctype
Progress: {0}%,Progresso: {0}%,# apps/exemplo/doctypes/projeto/projeto.form.ts:7
Progresso,,# exemplo.doctypes.projeto.projeto.doctype
Projeto,,# exemplo.doctypes.projeto.projeto.doctype
Projetos,,# exemplo workspace
Projetos em Andamento,,# exemplo workspace
Quantity,Quantidade,# apps/exemplo/reports/tarefas_por_status.report.ts:26
Relatórios,,# exemplo workspace
Reopen,Reabrir,# apps/exemplo/doctypes/tarefa/tarefa.form.ts:20
Responsável,,# exemplo.doctypes.projeto.projeto.doctype
Share (%),Participação (%),# apps/exemplo/reports/tarefas_por_status.report.ts:27
Start,Iniciar,# apps/exemplo/doctypes/tarefa/tarefa.form.ts:18
Status,Status,# apps/exemplo/reports/tarefas_por_status.report.ts:25
Tarefa,,# exemplo.doctypes.tarefa.tarefa.doctype
Tarefas,,# exemplo workspace
Tarefas Abertas,,# exemplo workspace
Tarefas Atrasadas,,# exemplo workspace
Tarefas por Status,,# exemplo workspace
Tasks,Tarefas,# apps/exemplo/doctypes/projeto/projeto.form.ts:8
Total,Total,# apps/exemplo/reports/tarefas_por_status.report.ts:30
Título,,# exemplo.doctypes.marco_projeto.marco_projeto.doctype
Visão Geral,,# exemplo workspace
